scene,count,ratio,scene_en
其他,60,0.21428571428571427,Other
学业,60,0.21428571428571427,Academic
日常,60,0.21428571428571427,Daily Life
情感,40,0.14285714285714285,Emotional
职业,40,0.14285714285714285,Career
人格/自我,20,0.07142857142857142,Self-Identity
